Airline,Date_of_Journey,Source,Destination,Duration,Total_Stops,Additional_Info,Price
IndiGo,24/03/2019,Banglore,New Delhi,2h 50m,non-stop,No info,3897
Air India,1/05/2019,Kolkata,Banglore,7h 25m,2 stops,No info,7662
Jet Airways,9/06/2019,Delhi,Cochin,19h,2 stops,No info,13882
IndiGo,12/05/2019,Kolkata,Banglore,5h 25m,1 stop,No info,6218
IndiGo,01/03/2019,Banglore,New Delhi,4h 45m,1 stop,No info,13302
SpiceJet,24/06/2019,Kolkata,Banglore,2h 25m,non-stop,No info,3873
Jet Airways,12/03/2019,Banglore,New Delhi,15h 30m,1 stop,In-flight meal not included,11087
Jet Airways,01/03/2019,Banglore,New Delhi,21h 5m,1 stop,No info,22270
Jet Airways,12/03/2019,Banglore,New Delhi,25h 30m,1 stop,In-flight meal not included,11087
Multiple carriers,27/05/2019,Delhi,Cochin,7h 50m,1 stop,No info,8625
Air India,1/06/2019,Delhi,kolkata,13h 15m,1 stop,No info,8907
IndiGo,18/04/2019,Kolkata,Banglore,2h 35m,non-stop,No info,4174
Air India,24/06/2019,Chennai,Kolkata,2h 15m,non-stop,No info,4667
Jet Airways,9/05/2019,Kolkata,Banglore,12h 10m,1 stop,In-flight meal not included,9663
IndiGo,24/04/2019,Kolkata,Banglore,2h 35m,non-stop,No info,4804
Air India,3/03/2019,Delhi,Cochin,26h 35m,2 stops,No info,14011
SpiceJet,15/04/2019,Delhi,Cochin,4h 30m,1 stop,No info,5830
Jet Airways,12/06/2019,Delhi,Cochin,22h 35m,1 stop,In-flight meal not included,10262
Air India,12/06/2019,Delhi,Cochin,23h,2 stops,No info,13381
Jet Airways,27/05/2019,Delhi,Cochin,20h 35m,1 stop,In-flight meal not included,12898
GoAir,6/03/2019,Delhi,Cochin,5h 10m,1 stop,No info,19495
Air India,21/03/2019,Banglore,New Delhi,15h 20m,1 stop,No info,6955
IndiGo,3/04/2019,Banglore,Delhi,2h 50m,non-stop,No info,3943
IndiGo,1/05/2019,Banglore,Delhi,2h 55m,non-stop,No info,4823
Jet Airways,6/05/2019,Kolkata,Banglore,13h 20m,1 stop,In-flight meal not included,7757
Jet Airways,9/06/2019,Delhi,Cochin,15h 10m,2 stops,No info,13292
IndiGo,1/06/2019,Delhi,Cochin,5h 45m,1 stop,No info,8238
GoAir,15/05/2019,Delhi,Cochin,5h 55m,1 stop,No info,7682
Vistara,18/06/2019,Banglore,Delhi,2h 50m,non-stop,No info,4668
Vistara,15/06/2019,Chennai,Kolkata,2h 15m,non-stop,No info,3687
Vistara,18/06/2019,Chennai,Kolkata,2h 15m,non-stop,No info,3687
Air India,1/05/2019,Kolkata,Banglore,13h 25m,2 stops,No info,13227
IndiGo,6/04/2019,Banglore,Delhi,2h 50m,non-stop,No info,4423
Jet Airways,15/06/2019,Delhi,Cochin,22h,2 stops,In-flight meal not included,10919
Jet Airways,18/05/2019,Delhi,Cochin,5h 30m,1 stop,In-flight meal not included,12373
IndiGo,27/06/2019,Delhi,Cochin,10h 25m,1 stop,No info,5894
SpiceJet,21/05/2019,Kolkata,Banglore,5h 15m,1 stop,No info,4649
Air India,18/05/2019,Kolkata,Banglore,2h 30m,non-stop,No info,6245
Jet Airways,06/03/2019,Banglore,New Delhi,6h 15m,1 stop,No info,19225
Jet Airways,3/06/2019,Delhi,Cochin,11h 55m,1 stop,No info,14924
Multiple carriers,21/05/2019,Delhi,Cochin,11h 5m,1 stop,No info,9646
Air India,15/03/2019,Banglore,New Delhi,8h 30m,1 stop,No info,8714
Jet Airways,18/05/2019,Delhi,Cochin,22h 5m,1 stop,In-flight meal not included,12373
Air Asia,6/05/2019,Banglore,Delhi,2h 45m,non-stop,No info,3383
Multiple carriers,21/03/2019,Delhi,Cochin,12h,1 stop,No info,13062
SpiceJet,24/03/2019,Banglore,New Delhi,2h 50m,non-stop,No check-in baggage included,3527
IndiGo,27/05/2019,Banglore,Delhi,2h 50m,non-stop,No info,3943
Air India,3/05/2019,Chennai,Kolkata,2h 15m,non-stop,No info,4667
Air India,15/05/2019,Kolkata,Banglore,16h 5m,1 stop,No info,6117
Jet Airways,27/06/2019,Delhi,Cochin,19h 55m,2 stops,In-flight meal not included,11150
Jet Airways,9/03/2019,Delhi,Cochin,3h 15m,non-stop,In-flight meal not included,7202
Jet Airways,1/05/2019,Kolkata,Banglore,25h 20m,1 stop,No info,12121
IndiGo,24/03/2019,Banglore,New Delhi,2h 50m,non-stop,No info,4377
IndiGo,18/06/2019,Banglore,Delhi,3h,non-stop,No info,3943
Air Asia,3/04/2019,Banglore,Delhi,2h 50m,non-stop,No info,4483
Jet Airways,24/03/2019,Kolkata,Banglore,16h 15m,1 stop,No info,14231
Air India,01/03/2019,Banglore,New Delhi,15h 5m,2 stops,No info,17345
Vistara,6/03/2019,Chennai,Kolkata,2h 15m,non-stop,No info,7414
Multiple carriers,6/05/2019,Delhi,Cochin,6h 30m,1 stop,No info,8073
Vistara,6/03/2019,Mumbai,Hyderabad,25h 5m,1 stop,No info,12395
Air India,6/06/2019,Kolkata,Banglore,12h 25m,1 stop,No info,8366
Air India,3/04/2019,Delhi,Cochin,27h 20m,1 stop,No info,5117
Multiple carriers,3/06/2019,Delhi,Cochin,10h 15m,1 stop,No info,12524
IndiGo,15/05/2019,Delhi,Cochin,10h 30m,1 stop,No info,7191
Vistara,24/05/2019,Chennai,Kolkata,2h 15m,non-stop,No info,3687
IndiGo,24/06/2019,Delhi,Cochin,10h 25m,1 stop,No info,5894
Vistara,24/04/2019,Banglore,Delhi,2h 50m,non-stop,No info,5403
Air India,6/05/2019,Mumbai,Hyderabad,1h 30m,non-stop,No info,3625
Air India,21/05/2019,Delhi,Cochin,13h 20m,2 stops,No info,10861
IndiGo,12/03/2019,Chennai,Kolkata,2h 15m,non-stop,No info,6297
Jet Airways,1/06/2019,Mumbai,Hyderabad,1h 25m,non-stop,No info,5678
Jet Airways,09/03/2019,Banglore,New Delhi,26h 30m,1 stop,In-flight meal not included,9134
Multiple carriers,24/06/2019,Delhi,Cochin,7h 20m,1 stop,In-flight meal not included,10791
Jet Airways,24/06/2019,Delhi,Cochin,13h 30m,2 stops,No info,12819
IndiGo,21/03/2019,Delhi,Cochin,5h,1 stop,No info,6893
Vistara,09/03/2019,Banglore,New Delhi,2h 45m,non-stop,No info,7240
GoAir,3/04/2019,Banglore,Delhi,2h 50m,non-stop,No info,3898
IndiGo,3/04/2019,Mumbai,Hyderabad,1h 30m,non-stop,No info,4049
Jet Airways,15/06/2019,Delhi,Cochin,19h 5m,1 stop,In-flight meal not included,10262
SpiceJet,21/03/2019,Chennai,Kolkata,2h 15m,non-stop,No check-in baggage included,3332
Jet Airways,9/06/2019,Kolkata,Banglore,14h 50m,1 stop,In-flight meal not included,10844
Jet Airways,24/03/2019,Banglore,New Delhi,2h 40m,non-stop,No info,7229
Jet Airways,6/05/2019,Kolkata,Banglore,22h 10m,1 stop,No info,13941
IndiGo,27/06/2019,Delhi,Cochin,9h 35m,1 stop,No info,5894
Multiple carriers,18/05/2019,Delhi,Cochin,10h,1 stop,No info,10197
Jet Airways,06/03/2019,Banglore,New Delhi,21h 20m,1 stop,In-flight meal not included,13712
IndiGo,24/06/2019,Delhi,Cochin,5h 25m,1 stop,No info,5636
Jet Airways,6/06/2019,Delhi,Cochin,18h 45m,2 stops,No info,13014
Jet Airways,1/04/2019,Kolkata,Banglore,12h 20m,1 stop,In-flight meal not included,7064
Jet Airways,24/05/2019,Kolkata,Banglore,18h,1 stop,In-flight meal not included,10703
Multiple carriers,27/05/2019,Delhi,Cochin,9h 15m,1 stop,No info,9646
Multiple carriers,6/03/2019,Delhi,Cochin,11h 5m,1 stop,No info,17057
Jet Airways,12/03/2019,Banglore,New Delhi,17h 30m,1 stop,No info,13817
Air India,6/03/2019,Delhi,Cochin,13h 20m,2 stops,No info,13748
Air India,21/04/2019,Kolkata,Banglore,2h 35m,non-stop,No info,4880
IndiGo,21/06/2019,Chennai,Kolkata,2h 25m,non-stop,No info,3540
SpiceJet,15/05/2019,Banglore,Delhi,2h 40m,non-stop,No check-in baggage included,3257
Jet Airways,3/06/2019,Banglore,Delhi,3h,non-stop,In-flight meal not included,6478
Jet Airways,18/06/2019,Mumbai,Hyderabad,1h 25m,non-stop,No info,8040
Jet Airways,12/06/2019,Delhi,Cochin,16h 35m,2 stops,No info,14300
Jet Airways,15/05/2019,Kolkata,Banglore,12h 20m,1 stop,No info,14781
Jet Airways,9/06/2019,Kolkata,Banglore,12h 15m,1 stop,No info,14939
Jet Airways,24/06/2019,Delhi,Cochin,7h 30m,1 stop,In-flight meal not included,10262
Air India,12/05/2019,Kolkata,Banglore,24h,1 stop,No info,6528
Air India,1/05/2019,Banglore,Delhi,2h 45m,non-stop,No info,6121
Jet Airways,18/05/2019,Delhi,Cochin,8h 55m,2 stops,In-flight meal not included,13029
Multiple carriers,27/03/2019,Delhi,Cochin,7h 10m,1 stop,No info,11421
Multiple carriers,27/03/2019,Delhi,Cochin,14h 30m,1 stop,No info,7574
Air India,9/05/2019,Delhi,Cochin,30h 20m,2 stops,No info,11596
Jet Airways,24/05/2019,Delhi,Cochin,19h 55m,2 stops,No info,15129
Jet Airways,18/03/2019,Banglore,New Delhi,15h,1 stop,No info,13555
IndiGo,12/04/2019,Banglore,Delhi,2h 55m,non-stop,No info,5780
Vistara,12/05/2019,Kolkata,Banglore,12h 45m,1 stop,No info,9397
Jet Airways,6/03/2019,Delhi,Cochin,10h 10m,1 stop,No info,17024
GoAir,27/06/2019,Delhi,Cochin,5h 55m,1 stop,No info,5281
Multiple carriers,18/05/2019,Delhi,Cochin,15h 25m,1 stop,No info,10348
Air India,6/03/2019,Delhi,Cochin,16h 5m,1 stop,No info,12677
Multiple carriers,3/03/2019,Delhi,Cochin,10h 10m,1 stop,No info,15147
Vistara,12/06/2019,Banglore,Delhi,2h 40m,non-stop,No info,4668
Jet Airways,9/05/2019,Delhi,Cochin,11h 55m,1 stop,No info,15554
SpiceJet,9/04/2019,Banglore,Delhi,2h 40m,non-stop,No info,3971
Air India,3/05/2019,Mumbai,Hyderabad,1h 25m,non-stop,No info,3100
Jet Airways,6/05/2019,Kolkata,Banglore,14h 5m,1 stop,In-flight meal not included,9663
Air India,1/03/2019,Delhi,Cochin,20h 15m,1 stop,No info,27430
IndiGo,12/05/2019,Chennai,Kolkata,2h 25m,non-stop,No info,3540
Air India,21/05/2019,Kolkata,Banglore,23h 10m,2 stops,No info,10676
Jet Airways,12/06/2019,Kolkata,Banglore,18h 10m,1 stop,No info,13044
Jet Airways,6/05/2019,Kolkata,Banglore,16h,1 stop,No info,14388
IndiGo,24/06/2019,Banglore,Delhi,2h 50m,non-stop,No info,3943
IndiGo,3/06/2019,Chennai,Kolkata,2h 20m,non-stop,No info,3597
Air India,21/03/2019,Banglore,New Delhi,8h,1 stop,No info,5932
Jet Airways,15/06/2019,Delhi,Cochin,16h 55m,1 stop,In-flight meal not included,10262
Vistara,12/05/2019,Delhi,Cochin,3h 10m,non-stop,No info,6216
IndiGo,15/06/2019,Kolkata,Banglore,2h 45m,non-stop,No info,4804
Multiple carriers,21/05/2019,Delhi,Cochin,14h,1 stop,No info,14067
Jet Airways,18/05/2019,Delhi,Cochin,23h 50m,2 stops,No info,15129
Jet Airways,6/06/2019,Delhi,Cochin,21h 40m,2 stops,No info,13376
Air India,27/06/2019,Delhi,Cochin,21h 15m,2 stops,No info,10441
Jet Airways,24/05/2019,Banglore,Delhi,2h 45m,non-stop,In-flight meal not included,4030
Jet Airways,3/03/2019,Delhi,Cochin,10h 50m,1 stop,No info,17024
Multiple carriers,9/04/2019,Delhi,Cochin,8h,1 stop,No info,13017
GoAir,6/06/2019,Kolkata,Banglore,8h 15m,1 stop,No info,6686
IndiGo,15/06/2019,Delhi,Cochin,5h 25m,1 stop,No info,5636
IndiGo,9/06/2019,Delhi,Cochin,8h 35m,1 stop,No info,6442
Multiple carriers,21/05/2019,Delhi,Cochin,11h 50m,1 stop,No info,9486
Jet Airways,21/05/2019,Kolkata,Banglore,27h 35m,1 stop,In-flight meal not included,10844
Jet Airways,3/06/2019,Delhi,Cochin,8h 25m,2 stops,In-flight meal not included,15318
Air India,3/04/2019,Delhi,Cochin,20h 55m,1 stop,No info,5117
IndiGo,24/06/2019,Delhi,Cochin,4h 50m,1 stop,No info,6147
Multiple carriers,9/06/2019,Delhi,Cochin,8h 10m,1 stop,No info,7005
SpiceJet,3/04/2019,Kolkata,Banglore,2h 20m,non-stop,No info,3873
Jet Airways,21/03/2019,Delhi,Cochin,24h 25m,2 stops,In-flight meal not included,9270
GoAir,27/06/2019,Banglore,Delhi,2h 50m,non-stop,No info,3898
