Airline,Date_of_Journey,Source,Destination,Duration,Total_Stops,Additional_Info,Price
IndiGo,2019-03-24,Banglore,New Delhi,170,0,No info,3897
Air India,2019-05-01,Kolkata,Banglore,445,2,No info,7662
Jet Airways,2019-06-09,Delhi,Cochin,1140,2,No info,13882
IndiGo,2019-05-12,Kolkata,Banglore,325,1,No info,6218
IndiGo,2019-03-01,Banglore,New Delhi,285,1,No info,13302
SpiceJet,2019-06-24,Kolkata,Banglore,145,0,No info,3873
Jet Airways,2019-03-12,Banglore,New Delhi,930,1,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,1265,1,No info,22270
Jet Airways,2019-03-12,Banglore,New Delhi,1530,1,In-flight meal not included,11087
Multiple carriers,2019-05-27,Delhi,Cochin,470,1,No info,8625
Air India,2019-06-01,Delhi,kolkata,795,1,No info,8907
IndiGo,2019-04-18,Kolkata,Banglore,155,0,No info,4174
Air India,2019-06-24,Chennai,Kolkata,135,0,No info,4667
Jet Airways,2019-05-09,Kolkata,Banglore,730,1,In-flight meal not included,9663
IndiGo,2019-04-24,Kolkata,Banglore,155,0,No info,4804
Air India,2019-03-03,Delhi,Cochin,1595,2,No info,14011
SpiceJet,2019-04-15,Delhi,Cochin,270,1,No info,5830
Jet Airways,2019-06-12,Delhi,Cochin,1355,1,In-flight meal not included,10262
Air India,2019-06-12,Delhi,Cochin,1380,2,No info,13381
Jet Airways,2019-05-27,Delhi,Cochin,1235,1,In-flight meal not included,12898
GoAir,2019-03-06,Delhi,Cochin,310,1,No info,19495
Air India,2019-03-21,Banglore,New Delhi,920,1,No info,6955
IndiGo,2019-04-03,Banglore,Delhi,170,0,No info,3943
IndiGo,2019-05-01,Banglore,Delhi,175,0,No info,4823
Jet Airways,2019-05-06,Kolkata,Banglore,800,1,In-flight meal not included,7757
Jet Airways,2019-06-09,Delhi,Cochin,910,2,No info,13292
IndiGo,2019-06-01,Delhi,Cochin,345,1,No info,8238
GoAir,2019-05-15,Delhi,Cochin,355,1,No info,7682
Vistara,2019-06-18,Banglore,Delhi,170,0,No info,4668
Vistara,2019-06-15,Chennai,Kolkata,135,0,No info,3687
Vistara,2019-06-18,Chennai,Kolkata,135,0,No info,3687
Air India,2019-05-01,Kolkata,Banglore,805,2,No info,13227
IndiGo,2019-04-06,Banglore,Delhi,170,0,No info,4423
Jet Airways,2019-06-15,Delhi,Cochin,1320,2,In-flight meal not included,10919
Jet Airways,2019-05-18,Delhi,Cochin,330,1,In-flight meal not included,12373
IndiGo,2019-06-27,Delhi,Cochin,625,1,No info,5894
SpiceJet,2019-05-21,Kolkata,Banglore,315,1,No info,4649
Air India,2019-05-18,Kolkata,Banglore,150,0,No info,6245
Jet Airways,2019-03-06,Banglore,New Delhi,375,1,No info,19225
Jet Airways,2019-06-03,Delhi,Cochin,715,1,No info,14924
Multiple carriers,2019-05-21,Delhi,Cochin,665,1,No info,9646
Air India,2019-03-15,Banglore,New Delhi,510,1,No info,8714
Jet Airways,2019-05-18,Delhi,Cochin,1325,1,In-flight meal not included,12373
Air Asia,2019-05-06,Banglore,Delhi,165,0,No info,3383
Multiple carriers,2019-03-21,Delhi,Cochin,720,1,No info,13062
SpiceJet,2019-03-24,Banglore,New Delhi,170,0,No check-in baggage included,3527
IndiGo,2019-05-27,Banglore,Delhi,170,0,No info,3943
Air India,2019-05-03,Chennai,Kolkata,135,0,No info,4667
